"lon";"lat";"radius";"done"
"2.326438356";"48.8704806";"52.5";1
"2.326438356";"48.87142561";"52.5";1
"2.326438356";"48.88654577";"52.5";1
"2.326438356";"48.88749077";"52.5";1
"2.326438356";"48.88843578";"52.5";1
"2.326438356";"48.88938079";"52.5";1
"2.327157534";"48.8700081";"52.5";1
"2.327157534";"48.87095311";"52.5";1
"2.327157534";"48.87189812";"52.5";1
"2.327157534";"48.87284313";"52.5";1
"2.327157534";"48.87378814";"52.5";1
"2.327157534";"48.87473315";"52.5";1
"2.327157534";"48.87567816";"52.5";1
"2.327157534";"48.87662317";"52.5";1
"2.327157534";"48.87756818";"52.5";1
"2.327157534";"48.87851319";"52.5";1
"2.327157534";"48.87945819";"52.5";1
"2.327157534";"48.8804032";"52.5";1
"2.327157534";"48.88134821";"52.5";1
"2.327157534";"48.88229322";"52.5";1
"2.327157534";"48.88418324";"52.5";1
"2.327157534";"48.88512825";"52.5";1
"2.327157534";"48.88607326";"52.5";1
"2.327157534";"48.88701827";"52.5";1
"2.327157534";"48.88796328";"52.5";1
"2.327157534";"48.88890829";"52.5";1
"2.327157534";"48.8898533";"52.5";1
"2.327157534";"48.89079831";"52.5";1
"2.327157534";"48.89174332";"52.5";1
"2.327876712";"48.8704806";"52.5";1
"2.327876712";"48.87142561";"52.5";1
"2.327876712";"48.87237062";"52.5";1
"2.327876712";"48.87331563";"52.5";1
"2.327876712";"48.87426064";"52.5";1
"2.327876712";"48.87520565";"52.5";1
"2.327876712";"48.87615066";"52.5";1
"2.327876712";"48.87709567";"52.5";1
"2.327876712";"48.87804068";"52.5";1
"2.327876712";"48.87898569";"52.5";1
"2.327876712";"48.8799307";"52.5";1
"2.327876712";"48.88087571";"52.5";1
"2.327876712";"48.88182072";"52.5";1
"2.327876712";"48.88276573";"52.5";1
"2.327876712";"48.88371074";"52.5";1
"2.327876712";"48.88465575";"52.5";1
"2.327876712";"48.88560076";"52.5";1
"2.327876712";"48.88654577";"52.5";1
"2.327876712";"48.88749077";"52.5";1
"2.327876712";"48.88843578";"52.5";1
"2.327876712";"48.88938079";"52.5";1
"2.327876712";"48.8903258";"52.5";1
"2.327876712";"48.89127081";"52.5";1
"2.327876712";"48.89221582";"52.5";1
"2.327876712";"48.89316083";"52.5";1
"2.327876712";"48.89410584";"52.5";1
"2.32859589";"48.87095311";"52.5";1
"2.32859589";"48.87189812";"52.5";1
"2.32859589";"48.87284313";"52.5";1
"2.32859589";"48.87378814";"52.5";1
"2.32859589";"48.87473315";"52.5";1
"2.32859589";"48.87567816";"52.5";1
"2.32859589";"48.87662317";"52.5";1
"2.32859589";"48.87756818";"52.5";1
"2.32859589";"48.87851319";"52.5";1
"2.32859589";"48.87945819";"52.5";1
"2.32859589";"48.8804032";"52.5";1
"2.32859589";"48.88134821";"52.5";1
"2.32859589";"48.88229322";"52.5";1
"2.32859589";"48.88323823";"52.5";1
"2.32859589";"48.88418324";"52.5";1
"2.32859589";"48.88512825";"52.5";1
"2.32859589";"48.88607326";"52.5";1
"2.32859589";"48.88701827";"52.5";1
"2.32859589";"48.88796328";"52.5";1
"2.32859589";"48.88890829";"52.5";1
"2.32859589";"48.8898533";"52.5";1
"2.32859589";"48.89079831";"52.5";1
"2.32859589";"48.89174332";"52.5";1
"2.32859589";"48.89268833";"52.5";1
"2.32859589";"48.89363334";"52.5";1
