"Id","Name","Lat","Lng","Price_level","Rating","Nb_Rating","Type"
"ChIJuwuGSONt5kcRFrcvR5AYI_w","46 Rue Jean-Pierre Timbaud","48.866335","2.3722096",NA,NA,NA,"route"
"ChIJl7wVSONt5kcRoHde85_JmhI","Astier","48.8662113","2.3720222","2","4.3","393","restaurant food point_of_interest establishment"
"ChIJa4N3R-Nt5kcRZyzrQ-raPDg","Parking Trois Bornes","48.8665239","2.3718662",NA,"3.8","52","parking point_of_interest establishment"
"ChIJVXLvS-Nt5kcRtDUTV2Qqft8","Sushi Jade","48.8660699","2.372326","2","2.9","225","restaurant food point_of_interest establishment"
"ChIJ19Xm1ARu5kcRuQ1-w985teA","Agence Artistique Brigitte Descormiers","48.8664671","2.3717329",NA,"4","1","point_of_interest establishment"
"ChIJC8XzM-Nt5kcRP9_jw7CcV14","Dispensaire de la Fondation Assistance Aux Animaux à Paris","48.8660295","2.3714536",NA,"4","157","veterinary_care health point_of_interest establishment"
"ChIJ30PAQONt5kcRUFihSbNTMW8","Le Record","48.8663374","2.3715211",NA,NA,NA,"electronics_store home_goods_store bar restaurant food point_of_interest store establishment"
"ChIJ30PAQONt5kcRlqgiDdG84s8","L'amical","48.8664671","2.3717329",NA,"5","4","bar point_of_interest establishment"
"ChIJeYnhOeNt5kcRsC4AogKXSjw","Gantois Fabien","48.8664671","2.3717329",NA,NA,NA,"point_of_interest establishment"
"ChIJ1fUHFeNt5kcR20EaTPp3zDI","Truscelli Créations","48.8663377","2.3713571",NA,"5","13","jewelry_store point_of_interest store establishment"
"ChIJO6lHNONt5kcRWwvjRjJEUX4","Laboratoire dentaire Patrick Jaïs","48.8660342","2.3717407",NA,NA,NA,"dentist health point_of_interest establishment"
"ChIJESLXNeNt5kcRrn4iCZQpnDM","Oxygen Events","48.8660368","2.3718414",NA,"2.3","3","point_of_interest establishment"
"ChIJ8XRjMONt5kcRyb2ahz-T1jY","Sakura","48.8663639","2.3714919",NA,"3.8","29","restaurant food point_of_interest establishment"
"ChIJiWVPb49y5kcR7UDHRI8wfq4","Stéphanie Cayet","48.8664671","2.3717329",NA,"5","1","general_contractor point_of_interest establishment"
