"Id","Name","Lat","Lng","Rating","Nb_Rating","Type","Price_level"
"ChIJ7a-WdQBy5kcRE3BILwBoAzU","26 Boulevard Beaumarchais","48.855711","2.3685244",NA,NA,"route",NA
"ChIJT2C_fgBy5kcRMWR2rE6da4Y","UltraJeux","48.8554718","2.3692416","4.1","241","point_of_interest store establishment",NA
"ChIJPaUYjP9t5kcRHZk0tpxOgyA","Ecolo Pressing Paris 11","48.8561122","2.3688387","3.2","43","laundry point_of_interest establishment",NA
"ChIJRUtPdABy5kcRIPvpL7kiIlM","Paul Beuscher","48.855614","2.368289","4.4","614","electronics_store home_goods_store point_of_interest store establishment",NA
"ChIJaSAijf9t5kcRWS6zeQSwJrk","ALIS expert Apple depuis 1992","48.8562526","2.3686508","4.1","107","electronics_store point_of_interest store establishment",NA
"ChIJN_IpcQBy5kcRbSp-mGWatg4","EMMAÜS alternatives","48.8553755","2.3689163","3.8","68","point_of_interest establishment",NA
"ChIJNU3cjv9t5kcRIwNmg_Hsqzo","Cuvelier Lenglet Charlotte","48.8557767","2.3687982","4.3","3","doctor health point_of_interest establishment",NA
"ChIJzS7mi_9t5kcR9uyHNOpWVas","Christian Rouyer Developpement","48.8559989","2.3687915",NA,NA,"finance point_of_interest establishment",NA
"ChIJb40TdwBy5kcRwkLikeQ3eM8","Magic Corporation","48.855514","2.36889","4.4","226","point_of_interest store establishment",NA
"ChIJUUOJhv9t5kcRrPlswQqrPVc","Made In Wonder","48.8560461","2.3693381",NA,NA,"point_of_interest establishment",NA
"ChIJV1VPiv9t5kcRErZyTRL8lp0","delongenlarge","48.8555909","2.3688078","4.5","53","shoe_store point_of_interest clothing_store store establishment",NA
"ChIJs3AVeQBy5kcRUzhethodZYE","Golden Investissements","48.8554922","2.3692474",NA,NA,"finance point_of_interest establishment",NA
"ChIJtXAVeQBy5kcRtCMO3eewDlI","ASSOCIATION DES COMMERCANTS DU QUARTIER BEAUMARCHAIS","48.8554928","2.3692531",NA,NA,"point_of_interest establishment",NA
"ChIJFfWycABy5kcRMQkDpTaXj40","Espace Loggia - Bastille","48.8554045","2.3689408","4.3","18","furniture_store home_goods_store point_of_interest store establishment",NA
"ChIJ-yWnCQBy5kcRuIDfLyo4CA4","Éditions Combre","48.8556137","2.3682887",NA,NA,"point_of_interest establishment",NA
"ChIJGVbSCgBy5kcR7uJGIPWYZ0I","Edition Delrieu","48.8556137","2.3682887",NA,NA,"point_of_interest establishment",NA
"ChIJ-xbedQBy5kcR93lLMItV5cY","Pianos Beaumarchais","48.8556652","2.3687814","4.8","53","electronics_store home_goods_store point_of_interest store establishment",NA
