"Id","Name","Lat","Lng","Rating","Nb_Rating","Type"
"ChIJTaYgbBJu5kcRIA8o-yv52jc","57-49 Boulevard de Strasbourg","48.8726478","2.3561344",NA,NA,"route"
"ChIJ81MkQBJu5kcR9XImpvVIgbE","Central Hôtel","48.8724701","2.3556138","2.7","6","lodging point_of_interest establishment"
"ChIJG-sAbxJu5kcRs__Yp6lgo8I","Signes.paysages","48.8728692","2.3558963","5","1","general_contractor point_of_interest establishment"
"ChIJVZmLgxFu5kcRK9B35xrnnuM","E.M Montagnac","48.8728692","2.3558963","3.2","5","point_of_interest establishment"
"ChIJBRoEhUFu5kcRRoJgRrdAETQ","Cap Initiatives","48.8728692","2.3558963",NA,NA,"point_of_interest establishment"
"ChIJ82lnaRJu5kcR3Xjz3YKmJ6s","8'18''","48.8727139","2.3557955","5","1","general_contractor point_of_interest establishment"
"ChIJQQEL3Wxu5kcRsindQlotyGE","Chambre Nationale des Détaillants en Lingerie","48.8725748","2.3558593",NA,NA,"point_of_interest establishment"
"ChIJ87ZvmZJt5kcRUILnAG3C6U4","Advisto","48.8725638","2.3557614",NA,NA,"point_of_interest establishment"
"ChIJPx0IaxJu5kcR4YHlSaa-L0g","Algomtl","48.872577","2.3557584",NA,NA,"point_of_interest establishment"
"ChIJVVXlaBJu5kcRDvlGCZRT0fc","groupe 3.5 81","48.8728692","2.3558963",NA,NA,"point_of_interest establishment"
"ChIJUdwEwBpu5kcRl_ZruQRZds4","Giliberto Lara","48.872869","2.355896",NA,NA,"point_of_interest establishment"
"ChIJ9f01bxJu5kcRjEM0Aq7Ynl4","Emmy-Joy","48.8729031","2.3560347","3.2","24","store point_of_interest establishment"
"ChIJq6qaaRJu5kcRV6joKh-FMJA","Patricia Reynier","48.8727373","2.3559443","3.7","63","point_of_interest store establishment"
"ChIJGYhyahJu5kcRvYOn5Bdb2Pc","Confédération des commerçants de France","48.8725769","2.3557621","4.3","3","point_of_interest establishment"
"ChIJGYhyahJu5kcRQrM38epaOgk","APCDNA","48.8725769","2.3557621","1.6","14","point_of_interest establishment"
"ChIJnVhBahJu5kcRCa73i6D4QVE","service Cessionpro.fr","48.872577","2.3557585",NA,NA,"point_of_interest establishment"
"ChIJGYhyahJu5kcRn8kCiMFjKw0","Laboratoire LBC","48.8725882","2.3556941","1","2","point_of_interest establishment"
