"Id","Name","Lat","Lng","Price_level","Rating","Nb_Rating","Type"
"ChIJTTMxzmBu5kcR-oWH1wq42TY","Boulevard Ornano","48.8918239","2.3494248",NA,NA,NA,"route"
"ChIJdXYmw2Bu5kcRtPzQR7j40LQ","L'araignée Gentille","48.8924154","2.3496713",NA,"5","5","point_of_interest establishment"
"ChIJxV0-xmBu5kcR2z4xxDaRs4s","Rose Catering","48.8920216","2.3496827",NA,"3","1","food point_of_interest establishment"
"ChIJASIWxmBu5kcRDvanBCC5VP4","Le Colisee Achache","48.8920536","2.3495676",NA,NA,NA,"grocery_or_supermarket food point_of_interest store establishment"
"ChIJBR6G0WBu5kcRumnlr1Ymesg","LTVI (La Télévision Via Internet)","48.8920216","2.3496827",NA,NA,NA,"point_of_interest establishment"
"ChIJ7c7zRWRu5kcRAQIMl3o_IQc","KINCHANGE","48.8921461","2.3494834",NA,"3.7","3","finance point_of_interest establishment"
"ChIJk2MUwmBu5kcR1S1Ysujeab0","Beaudrey et. Cie","48.8925203","2.3493502",NA,"5","3","point_of_interest establishment"
"ChIJQ8eI0WBu5kcRqbxv4lV8XWE","DOMIDOM PARIS 18","48.8919639","2.3496715",NA,"3.8","14","point_of_interest establishment"
"ChIJPfgw2WBu5kcRWrVC6toWqXg","Cours Des Halles","48.892278","2.3500222",NA,NA,NA,"grocery_or_supermarket food point_of_interest store establishment"
"ChIJF1Ehz2Bu5kcR78Y08yAkOco","Masseur-Pro","48.8918569","2.3492161",NA,"5","136","spa point_of_interest establishment"
"ChIJASIWxmBu5kcRRbvpeUqwoIQ","La Rose de Tunis - Paris Ornano","48.8920035","2.3490519","2","4.1","333","bakery food point_of_interest store establishment"
"ChIJG6TExGBu5kcRGg-gGH9p76Y","Change - Or","48.8922063","2.3494796",NA,NA,NA,"store point_of_interest establishment"
"ChIJdzchxWBu5kcRRJvcQ-9T8z0","Change-Or","48.8921878","2.3494584",NA,NA,NA,"store point_of_interest establishment"
