"Id","Name","Lat","Lng","Price_level","Rating","Nb_Rating","Type"
"ChIJpdKS609u5kcRu7qpoRhV8w4","31-27 Rue Lepic","48.885622","2.334572",NA,NA,NA,"route"
"ChIJufMl809u5kcR_lRnFEhpWRo","Pavillon de Montmartre","48.885368","2.3351618",NA,"3.7","198","lodging point_of_interest establishment"
"ChIJo9kVjU9u5kcR-sMdiqnhJSw","Hôtel du Moulin","48.8853605","2.3350856",NA,"3.8","52","lodging point_of_interest establishment"
"ChIJiyzq9U9u5kcRlN2m5dvVZKc","Hôtel Basss","48.885471","2.335599",NA,"4","70","city_hall local_government_office lodging point_of_interest establishment"
"ChIJqfe4609u5kcR1RMzstXus3g","Hôtel 29 Lepic","48.885636","2.33439",NA,"4","165","lodging point_of_interest establishment"
"ChIJNWOA9E9u5kcRlQkxs3XFSuI","Plug-Inn Hostel","48.8854587","2.3351496",NA,"4","386","lodging point_of_interest establishment"
"ChIJue8o9E9u5kcRJ2G1N7QaShw","La Mascotte","48.885778","2.3354092","3","4.2","465","restaurant food point_of_interest establishment"
"ChIJJyom9E9u5kcRZmQYc8QXVHc","La Factory Afropéenne","48.885778","2.3354092",NA,NA,NA,"school point_of_interest establishment"
"ChIJgSAC8k9u5kcRmc7Z4Ve8vtk","Aventurine","48.885683","2.334962",NA,"1","1","point_of_interest establishment"
"ChIJLbBz7k9u5kcRxYd2kl2mg4w","Moules De Bouchot","48.8857187","2.3348411",NA,NA,NA,"point_of_interest establishment"
"ChIJdzwj7E9u5kcR1d2nh_5MpqU","Mademoiselle bio Lepic","48.885569","2.334749",NA,"4.1","41","beauty_salon point_of_interest store establishment"
"ChIJaSZbxnEO70cRim1ojJ8wRGA","Hotel des Capucines","48.885352","2.3350665",NA,NA,NA,"lodging point_of_interest establishment"
"ChIJK9_tjE9u5kcRGz_2_AdGLwM","Parsel","48.885352","2.3350665",NA,"4","5","lodging point_of_interest establishment"
"ChIJq6oe8U9u5kcRQXqLxS0ty3Q","Catherine Montandon","48.8858217","2.3351931",NA,NA,NA,"point_of_interest establishment"
"ChIJVVXp9k9u5kcRRBfM2_21H3s","L'Ecaille de la Mascotte","48.8857129","2.3354693",NA,"4.4","50","restaurant food point_of_interest establishment"
"ChIJWy7s8E9u5kcRJwbmFG5J8J4","Des Petits Hauts","48.8859024","2.3351906",NA,"4.8","11","clothing_store point_of_interest store establishment"
"ChIJWy7s8E9u5kcRf6YJ6gUrbF0","Chocolat Illèné","48.8859024","2.3351906",NA,"4.7","93","food point_of_interest store establishment"
